tahun,nama_provinsi,nama_kabupaten/kota,nama_kecamatan,nama_kelurahan,belum/tidakbekerja,mengurus_rumah_tangga,pelajar/mahasiswa,pensiunan,pegawai_negeri_sipil,tentara_nasional_indonesia,kepolisian_ri,perdagangan,petani_pekebun,peternak,nelayan/perikanan,industri,konstruksi,transportasi,karyawan_swasta,karyawan_bumn,karyawan_bumd,karyawan_honorer,buruh_harian_lepas,buruh_tani_perkebunan,buruh_nelayan_perikanan,buruh_peternakan,pembantu_rumah_tangga,tukang_cukur,tukang_listrik,tukang_batu,tukang_kayu,tukang_sol_sepatu,tukang_las_pandai_besi,tukang_jahit,tukang_gigi,penata_rias,penata_busana,penata_rambut,mekanik,seniman,tabib,paraji,perancang_busana,penterjemah,imam_mesjid,pendeta,pastor,wartawan,ustadz_mubaligh,juru_masak,promotor_acara,anggota_dpr_ri,anggota_dpd,anggota_bpk,presiden,wakil_presiden,anggota_mahkamah_konstitusi,anggota_kabinet_kementerian,duta_besar,gubernur,wakil_gubernur,bupati,wakil_bupati,walikota,wakil_walikota,anggota_dprd_provinsi,anggota_dprd_kabupaten_kota,dosen,guru,pilot,pengacara,notaris,arsitek,akuntan,konsultan,dokter,bidan,perawat,apoteker,psikiater_psikolog,penyiar_televisi,penyiar_radio,pelaut,peneliti,sopir,pialang,paranormal,pedagang,perangkat_desa,kepala_desa,biarawati,wiraswasta,lainnya,hakim
2014,PROVINSI DKI JAKARTA,JAKARTA SELATAN,CILANDAK,CILANDAK BARAT,8151,10691,13979,993,906,46,52,0,2,0,1,5,4,4,17537,295,7,22,228,1,0,0,13,0,0,0,0,0,0,4,0,0,0,0,1,26,0,0,1,1,0,16,7,62,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,114,453,11,33,13,18,4,8,168,13,56,4,1,1,1,0,1,93,0,1,14,0,0,0,3983,454,0
2014,PROVINSI DKI JAKARTA,JAKARTA SELATAN,CILANDAK,LEBAK BULUS,6318,7231,9628,760,856,41,44,2,7,0,1,6,7,0,9878,115,5,15,22,2,0,0,22,0,0,0,0,0,0,2,0,0,0,0,0,12,0,0,0,0,0,14,0,35,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,86,385,15,37,12,15,2,8,172,17,28,4,2,0,1,5,1,82,0,0,165,0,0,11,3602,177,0
2014,PROVINSI DKI JAKARTA,JAKARTA SELATAN,CILANDAK,PONDOK LABU,8665,8663,11434,1011,1224,199,72,0,8,0,0,11,12,2,13143,191,1,30,509,1,0,0,14,0,0,0,0,0,0,1,0,0,0,0,9,28,0,0,1,1,0,11,0,40,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,84,422,8,23,8,4,1,12,119,14,45,4,0,0,0,5,6,173,0,0,249,0,0,2,2827,234,0
2014,PROVINSI DKI JAKARTA,JAKARTA SELATAN,CILANDAK,GANDARIA SELATAN,3925,4274,5636,317,345,15,33,15,0,0,0,1,1,21,7398,61,1,17,220,0,0,1,4,0,0,0,0,0,0,0,0,0,0,1,2,16,0,0,0,0,0,8,0,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,216,6,11,5,2,1,1,63,6,5,1,1,0,0,0,1,58,0,1,82,0,0,0,1398,211,0
2014,PROVINSI DKI JAKARTA,JAKARTA SELATAN,CILANDAK,CIPETE SELATAN,4290,5755,7746,438,363,19,16,4,0,0,0,2,9,1,9033,150,0,11,285,10,0,0,14,0,0,0,0,0,0,3,0,0,0,0,7,21,0,0,0,1,0,5,0,18,2,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,213,7,22,7,11,2,14,86,7,13,1,1,1,0,1,0,101,0,0,105,0,0,0,1299,151,0
2014,PROVINSI DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,MELAWAI,302,506,796,113,74,6,59,3,0,0,0,0,3,0,828,40,1,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,5,0,6,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,17,9,3,8,3,6,2,7,44,0,0,0,2,0,0,0,0,2,0,0,7,0,0,0,283,68,0
2014,PROVINSI DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,GUNUNG,1418,1957,2509,274,184,8,8,2,1,0,0,2,2,0,2853,65,2,11,72,0,0,0,15,0,0,0,0,0,0,1,0,0,0,0,1,5,0,0,2,1,0,4,0,12,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,29,52,2,12,4,7,2,12,92,1,8,1,1,0,0,3,1,25,0,0,118,0,0,0,812,20,0
2014,PROVINSI DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,KRAMAT PELA,2214,2844,3684,310,250,10,19,3,0,0,0,2,2,1,4415,100,1,12,197,0,0,0,18,0,0,0,0,0,0,9,0,0,1,0,0,10,0,1,1,1,0,4,2,19,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,33,110,1,10,5,6,4,6,63,5,7,1,0,1,0,1,1,101,0,0,316,1,0,3,1168,29,0
2014,PROVINSI DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,SELONG,448,708,931,139,70,2,4,1,0,0,0,3,4,1,1068,24,1,2,27,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,6,2,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,17,10,2,7,3,4,0,1,34,1,2,0,1,0,0,0,2,7,0,0,23,0,0,0,352,78,0
2014,PROVINSI DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,RAWA BARAT,777,1092,1613,238,138,2,8,1,0,0,0,3,3,3,1896,48,1,9,57,0,0,0,8,0,0,0,0,0,0,2,0,0,0,0,3,8,0,0,1,0,0,0,1,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,62,2,11,6,4,0,8,68,2,2,0,1,1,0,0,1,20,0,1,36,0,0,0,368,28,0
